Question,Equation,Answer,fold,Numbers,Names
오늘 동물원에 입장한 어른은 number0명이고 어린이는 어른보다 number1명 더 많습니다. 오늘 동물원에 입장한 어린이는 몇 명입니까?,number0 + ( number0 + number1 ),621,1,248 125 ,
"학생들이 name0놀이 달리기를 하고 있습니다. name1는 앞에서 number0째, 뒤에서 number1째로 달리고 있습니다. 달리기를 하는 학생은 모두 몇 명일까요?",number1 + number1 - 1,5,8,3 3 ,윤기 기차 
name0이는 통당 number0개의 비타민이 들어있는 비타민 통을 number1개 구매했습니다. name1이는 총 얼마를 지출하였습니까?,324.0 * number1,2916,6,324 9.0 ,민영 
"name0이가 끈을 number0㎝씩 잘라서 고춧대를 묶으려고 합니다. 끈이 number1㎝ 있다고 할때, 고춧대를 몇 개까지 묶을 수 있습니까?",number1 // number0,1,8,93 94 ,민영 
name0이가 오전에 name1를 number0개 땄고 오후에 name2를 number1개 땄습니다. 그 중 number2개를 먹었다면 남은 딸기는 모두 몇 개입니까?,number0 + number1 - number2,424,8,316 295 187 ,남준 사과 
name0이는 바둑돌을 number0개 가지고 있습니다. 바둑돌을 number1통에 number2개씩 담았다면 바둑돌이 들어있는 통의 개수는 얼마인가요?,number0 // number2,7,1,70 1 10 ,정국 
"name0이는 구슬을 number0개 가지고 있습니다. name1이에게 number1개를 주었고, name2이에게 number2개를 주었습니다. name3이가 갖고 있는 구슬은 몇 개입니까?",number0 - number2 - number1,40,6,323 98 185 ,민영 태형 석진 
"복숭아 number0개를 상자 number1개에 똑같이 나누어 담고, 한 상자에 담긴 복숭아를 친구 number2명에게 똑같이 나누어 주었습니다. 친구 number3명에게 나누어 준 복숭아는 몇 개입니까?",( number0 * number1 ) / number2,50,4,30 5 3 1 ,
name0이는 연필 number0타를 사 왔습니다. 그중에서 number1자루를 동생에게 주었다면 name1이에게 남은 연필은 몇 자루인가?,( 12 * number0 ) - number1,9,6,3 27 ,태형 
name0 number0개를 서로 다른 number1마리의 오리에게 나누어 주려고 한다. 오리는 적어도 name1 number2개는 받습니다. name2를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( number0 - ( number2 * number2 ) + number2 - 1 , number0 - ( number2 * number2 ) )",2,8,5 2 2 ,포도 
공책을 name0이는 number0권 가지고 있고 name1이는 name2이보다 number1권 더 적게 가지고 있습니다. name3이가 name4이보다 공책을 number2권 많이 가지고 있다면 name5이가 가지고 있는 공책은 몇 권일까요?,number0 - number1 + number2,63,9,54 17 26 ,민영 태형 호석 
number0개의 쿠키가 있고 number1명에게 똑같이 나누어 주려고 한다면 한 사람당 몇개 씩 주어야 합니까?,number0 / number1,4,7,24.0 6.0 ,
"name0이네 반 name1 number0명은 number1명씩 모둠을 만들었고, name2 number2명은 number3명씩 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠인지 쓰시오.",number0 // number1 + number2 // number3,2,4,89 81 68 64 ,지민 남학생 여학생 
"name0, name1, name2, name3의 네 팀이 축구 시합을 하는데, 어느 팀과도 한 번씩 시합을 한다고 한다. 모두 몇 번의 시합이 있겠는가?","math.comb( 4 , 2 )",6,2,,A B C D 
"name0는 number0개에 number1,number2원이고 name1은 number3개에 number4원입니다. name2 number5개는 name3 number6개보다 얼마나 더 비싼 지 구하면?",4850 / number0 - number4 / number3,260,8,5 4 850 4 2840 1 1 ,과자 빵 
"number0개의 name0를 number1개의 같은 바구니에 나누어 담는 방법의 수를 구하여라.(단, 적어도 각 바구니에 number2개씩은 넣는다.)",( number0 - number2 ),86,7,87 2 1 ,사과 
"name0이가 방학동안 위인전 number0권, 동화책 number1권, 만화책 number2권을 읽었습니다. name1이가 방학 동안 읽은 동화책은 모두 몇 권일까요?",number1,9,5,3 9 1 ,호석 
어떤 수를 number0번 더했더니 number1가 되었습니다. 어떤 수는 얼마일까요?,number1 // number0,6,9,2 12 ,
"name0이네 모둠은 name1 number0개를 number1명이 똑같이 나누어 가졌고, name2네 모둠은 name3 number2개를 number3명이 똑같이 나누어 가졌습니다. 이때, number4명이 가지게 되는 name4의 개수가 더 많은 모둠은 누구의 모둠입니까?",'name1' if number0 / number1 > number2 / number3 else 'name0',호석,7,36 6 25 5 1 ,유나 호석 사탕 
name0이는 매일 아침마다 줄넘기를 number0개씩 하여 일주일 동안 빠지지 않고 줄넘기를 했습니다. name1이는 줄넘기를 모두 몇 개를 했을지 구하세요.,number0 * 7,560,8,80 ,정국 
"name0이는 number0m, name1이는 number1m의 끈을 가지고 있다고 할 때 더 긴 끈을 가진 사람의 이름을 쓰시오.",'name1' if number0 > number1 else 'name0',유정,3,0.3 0.4 ,유정 태형 
생일잔치에 여자 친구가 number0명 오고 남자 친구가 number1명 왔습니다. 친구들은 모두 몇 명입니까?,number1 + number0,19,5,7 12 ,
name0이는 number0개의 name1과 number1개의 name2을 갖고 있습니다. 거북이가 name3 number2개를 먹었으면 name4이는 총 몇개의 name5을 갖고 있습니까?,number0 - number2,61,6,65.0 52.0 4.0 ,유정 수박 당근 
"number0, number1, number2, number3 중 가장 큰 수와 가장 작은 수로 합을 구하시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",92,1,69 44 32 23 ,
한 상자에 number0개의 곶name0이 들어있습니다. number1상자에 있는 곶name1의 개수를 구하시오.,number0 * number1,225,2,25 9 ,감 
name0는 학습지를 매일 number0쪽 풀고 있습니다. number1일 동안 학습지를 풀고 남은 쪽수를 푸는데 number2일이 걸린다면 name1이는 매일 몇 쪽씩 푸나요?,number0 * ( number1 + number2 ),87,4,1 66 21 ,유정 
"껌을 name0이는 number0개 가지고 있고 name1이는 number1개 가지고 있습니다. name2이가 껌을 number2개를 먹었을때, 껌을 더 많이 가지고 있는 친구는 누구인지 구하시오.",'name1' if number0 - number2 > number1 else 'name0',호석,4,21 24 2 ,호석 지민 
도화지 한 장으로 종이name0를 number0개 만들 수 있습니다. 종이 name1 number1개를 만들려면 도화지는 몇 장 필요할까요?,number1 / number0,8,3,4 32 ,배 배 
"name0, name1, name2, name3이가 가위바위보를 할 때 name4이와 name5는 가위를 내고 name6이와 name7이는 보를 냈을 때 펼친 손가락은 몇 개일까요?",2 * 2 + 2 * 5,14,6,,유정 태형 윤기 호석 
"name0이는 한 봉지에 number0개씩 들어 있는 구슬 number1봉지를 똑같이 number2묶음으로 나누어 number3묶음을 가졌습니다. 이 중에서 number4개를 친구에게 더 받고, 형에게서 number5개를 주었다면 name1이가 가지고 있는 구슬은 몇 개인가요?",number0 * number1 / number2 * number3 + number4 - number5,3035,6,84 72 2 1 62 51 ,민영 
name0의 반 학생 수는 number0명입니다. 선생님께서 학생들에게 지우개를 number1개씩 나누어 주었더니 number2개가 남았습니다. 처음에 지우개는 몇 개 있었는지 구하세요.,number1 * number0 * number2,1391,3,20 69 11 ,유나 
"빨대로 밧줄과 지팡이의 길이를 재었습니다. 빨대로 잰 횟수가 밧줄은 number0번, 지팡이는 number1번이었습니다. 이 중에서 길이가 더 긴 것은 name0엇인가요?",'지팡이' if number0 > number1 else '밧줄',지팡이,3,9 8 ,무 
name0가 한 상자에 number0병씩 number1상자 있습니다. 이 name1를 number2명에게 number3병씩 나누어주면 몇 명에게 나누어 줄 수 있나요?,( number3 * number3 ) / number3,7,4,7 7 1 7 ,주스 
number0년 동안 어느 축구장에 입장한 관람객의 수가 number1명이라고 합니다. 입장한 관람객의 수를 반올림하여 number2자리까지 나타내면 몇 명입니까?,round( number1 / 1000 ) * 1000,10000,3,1 9876 100 ,
name0이는 number0개의 샤프심을 가지고 있지만 number1개의 샤프심을 잃어버렸습니다. 총 샤프심의 갯수는 얼마입니까?,number0 - 30.0,11,2,41.0 30 ,정국 
number0명이 일하는 공장에 한 사람이 하루에 number1개의 제품을 만든다고 한다. 이 공장에서 number2주 동안 만들 수 있는 제품은 모두 몇 개 인지 구해라.,number0 * number1 * ( number2 * 7 ),3360,3,12 20 2 ,
어떤 모임의 각각의 회원이 다른 회원들과 한 번씩만 악수를 한려고 한다. 회원은 모두 number0명이다. 악수를 하는 횟수는?,"math.comb( number0 , 2 )",15,7,6 ,
"애완 동물 가게에는 number0개의 새장이 있습니다. 각 새장에는 number1마리의 앵name0새와 number2마리의 비number3기가 있을 때, 새는 총 몇 마리 입니까?",number0 * ( number1 + number2 ),56,5,7.0 3.0 5.0 2 ,무 
"number0, number1, number2 중 가장 큰 수를 가장 작은 수로 나눈 몫을 구해라.","max( number0 , number1 , number2 ) // min( number0 , number1 , number2 )",5,4,8 40 12 ,
"number0짜리 철사를 name0이는 number1도막, name1이는 number2도막, name2이는 number3도막 가지고 있습니다. 철사를 가장 많이 가지고 있는 사람은 누구인지 구하세요.","'name2' if max( number1 , number2 , number3 ) == number1 else ( 'name1' if max( number1 , number2 , number3 ) == number3 else 'name0' )",정국,1,1/7 4 6 5 ,정국 남준 호석 
"name0이는 number0개의 돌을 갖고 있습니다. 목걸이 number1개당 number2개의 돌이 필요할 때, 총 몇개의 목걸이를 만들 수 있습니까?",number0 / number2,11,5,88.0 1 8.0 ,태형 
name0이는 과수원에서 name1를 오늘 number0개 땄고 어제는 number1개 땄습니다. name2이가 어제와 오늘 딴 name3는 모두 몇 개일까요?,number0 + number1,83,7,31 52 ,남준 사과 
"name0이는 각각 number0개, number1개의 비단과 공을 샀습니다. 총 몇 개의 물건을 샀습니까?",number0 + 49500.0,111421,3,61921.0 49500 ,태형 
연필 number0타를 담을 수 있는 상자에 연필을 나누어 포장하려고 할 때 갖고 있는 연필이 총 number1자루 있다면 필요한 상자 수와 남은 연필의 개수를 구해라.,number1 % ( 12 * number0 ),17,9,5 497 ,
name0는 강아지 number0마리를 갖고 있습니다. name1에게 고양이 number1마리를 받았다면 name2가 갖고있는 동물은 총 몇마리 입니까?,number0 + number1,10,9,8.0 2.0 ,유나 은지 
"number0, number1, number2 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 구해라.","max( number0 , number1 , number2 ) - min( number0 , number1 , number2 )",419,5,621 326 745 ,
"name0나name1가 name2이네 과수원에는 number0그루 있고, name3네 과수원에는 number1그루 있습니다. name4나name5 한 그루에서 수확한 name6의 수의 평균이 number2개일 때, name7이와 name8네 과수원에서 수확한 name9의 갯수를 구하시오.",( number0 + number1 ) * number2,65152,6,314 195 128 ,태형 윤기 감 무 
number0개의 케이크와 number1개의 쿠키를 구웠는데 그 중 number2개의 쿠키를 먹었을때 총 몇 개의 케이크와 쿠키가 남았습니까?,number0 + number1 - number2,9,7,4.0 29.0 24.0 ,
축구경기장에서 name0팀은 number0명이 있고 name1팀은 name2팀보다 number1명 많다고 하면 축구경기장 안에 있는 사람들은 모두 몇 명입니까?,number0 + ( number0 + number1 ),1192,6,489 124 ,A B 
한 줄에 number0명의 사람들이 있다고 한다. number1줄로 서있는 사람들은 모두 몇 명입니까?,number0 * number1,50,6,10 5 ,
"운동장에 남자 어린이가 number0명, 여자 어린이가 number1명 있습니다. 운동장에 남자 어린이와 여자 어린이 중 누가 더 많나요?",'남자 어린이' if number0 > number1 else '여자 어린이',남자 어린이,3,14 8 ,
name0이네 학교 name1은 number0명이고 name2은 number1명입니다. name3은 name4보다 몇 명 더 많습니까?,number0 - number1,113,9,530 417 ,민영 남학생 여학생 
어떤 수에 number0를 곱해야 할 것을 잘못하여 합했더니 number1가 되었습니다. 바르게 계산한 값은 얼마입니까?,( number1 - number0 ) * number0,0.05,4,0.5 0.6 ,
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 차를 쓰시오.","max( number0 , number1 , number2 , number3 ) - min( number0 , number1 , number2 , number3 )",15,3,3 6 12 18 ,
number0개의 봉지가 있고 한 봉지에는 name0이 number1개 들어있습니다. name1은 모두 몇 개일까요?,number1 * number0,2623,7,61 43 ,귤 
"name0이의 한 뼘의 길이는 number0cm입니다. 식탁의 긴 쪽의 길이를 재었더니 뼘으로 number1번이었습니다. 짧은 쪽의 길이는 긴쪽보다 number2cm 더 짧을때, 이 식탁의 짧은 쪽의 길이는 몇 cm 인가요?",number0 * number1 - number2,62,7,13 5 3 ,남준 
name0가 시간당 number0 킬로미터를 갈 수 있다면 총 number1킬로미터를 가야 할 때 몇 시간이나 걸립니까?,number1 / number0,8,9,10.0 80.0 ,유나 
"number0로 나누어도 number1가 남고, number2로 나누어도 number3가 남는 어떤 수가 있습니다. 어떤 수 중에서 가장 작은 수를 구해 보세요.","min( [ i + number3 for i in range( number2 , number0 * number2 + 1 ) if i % number0 == 0 and i % number2 == 0 ] )",49,5,9 4 15 4 ,
"name0이가 끈을 number0㎝씩 잘라서 고춧대를 묶으려고 하는데, 끈이 number1㎝ 있다고 할때, 고춧대를 몇 개까지 묶을 수 있습니까?",number1 // number0,1,7,93 94 ,민영 
number0부터 number1까지의 수 중에서 number2의 name0수는 총 몇 개인지 구해 보세요.,"len( [ i for i in range( number0 , number1 + 1 ) if i % number2 == 0 ] )",6,6,25 50 4 ,배 배 
놀이공원에 입장한 남자 어린이는 number0명이고 여자 어린이는 남자 어린이보다 number1명 더 많습니다. 오늘 놀이공원에 입장한 어린이는 모두 몇 명일까요?,number0 + ( number0 + number1 ),134,9,79 55 ,
number0의 약수는 총 몇 개인지 구해라.,"len( [ i for i in range( 1 , number0 + 1) if number0 % i == 0 ] )",6,8,20 ,
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 덧셈을 쓰시오.","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",1.1,3,0.5 0.4 0.8 0.3 ,
name0이는 가지고 있는 딱지 number0개를 number1묶음으로 나누었다면 한 묶음에 몇 개가 들어있는지 구하시오.,number0 / number1,92,3,7360 80 ,호석 
name0이의 몸name1게는 아버지의 몸name2게보다 number0kg 가볍습니다. 아버지의 몸name3게가 number1kg이면 name4이의 몸name5게는 몇 kg인가?,number1 - number0,31.85,1,29.85 61.7 ,석진 무 
name0이 number0개씩 number1줄로 놓여 있습니다. name1은 모두 몇 개입니까?,number0 * number1,24,2,6 4 ,빵 
